cve,repo,commit list,Merge,Mirror,Better Solution,Fixing-of-Fixing,Collaboration,Separation
CVE-2009-3555,eclipse_jetty.project,"102625b
b90ad09
b4390f9",,,,{'b90ad09443e1771e37d23e393afe842759c20454': ['b4390f98529fce165e6394b94122b427fdfb8a5e']},,"['102625b86c8e82e0e3d02a71028ba62795aff52b', 'b90ad09443e1771e37d23e393afe842759c20454']"
CVE-2010-4172,apache_tomcat,"afd4b3b
2f0f80a",,{'afd4b3b3904593530c338e449b49198199694f4c': ['2f0f80a6c36d6875c64f8c857e2e26661a3865d4']},,,,
CVE-2010-4535,django_django,"6819be1
d5d8942
7f8dd9c",,"{'6819be1ea17ace34ae3a5c31ab0be960e99fcb85': ['d5d8942a160685c403d381a279e72e09de5489a9', '7f8dd9cbac074389af8d8fd235bf2cb657227b9a']}",,,,
CVE-2011-0013,apache_tomcat,"c8a9a43
1930114",,"{""c8a9a43183e061f09eb5cf7cd5443cecd8699462"": [""1930114c4122f2b6f45d6b92e7790288b17e2ad2""]}",,,,
CVE-2011-0469,openSUSE_open-build-service,"76b0ab0
23c8d21",,,,,,"['76b0ab003f34435ca90d943e02dd22279cdeec2a', '23c8d21c75242999e29379e6ca8418a14c8725c6']"
CVE-2011-2204,apache_tomcat,"763a56b
0ecc464",,{'763a56b45999653ce648a18462b8a826809215b1': ['0ecc4643938de4ed889e85952b30bf76ac92732c']},,,,
CVE-2011-2929,rails_rails,"5f94b93
e0c03f8
09ad48f",,"{'5f94b93279f6d0682fafb237c301302c107a9552': ['e0c03f8a2e727619c1eb1822d100d8c920d8bf12', '09ad48f22e0b32b6485bc122f7f220045aed1198']}",,,,
CVE-2011-3188,torvalds_linux,"bc0b96b
6e5714e",,,,,"{""bc0b96b54a21246e377122d54569eef71cec535f"": [""6e5714eaf77d79ae1c8b47e3e040ff5411b717ec""]}",
CVE-2012-1188,forkcms_forkcms,"9952201
1269fe8",,,,,,"['995220182068518e89019a265d113518f6566407', '1269fe8b3813c7b7d5552a2b88bc2e7bd4d0c1f9']"
CVE-2012-2098,apache_commons-compress,"8f70246
fdd7459
0600296",,,{'fdd7459bc5470e90024dbe762249166481cce769': ['0600296ab8f8a0bbdfedd483f51b38005eb8e34e']},{'fdd7459bc5470e90024dbe762249166481cce769': ['8f702469cbf4c451b6dea349290bc4af0f6f76c7']},,
CVE-2012-2140,mikel_mail,"ac56f03
39b590d",,,,,{'ac56f03bdfc30b379aeecd4ff317d08fdaa328c2': ['39b590ddb08f90ddbe445837359a2c8843e533d0']},
CVE-2012-4393,owncloud_core,"38271de
93579d8",,,,,,"['38271ded753bc9ea9943cef3c2706f8d71f3a58f', '93579d88dcea389205c01ddf6da41f37ad9b8745']"
CVE-2012-5164,forkcms_forkcms,"641e27b
03e8f5b",{'03e8f5b53f193a87116b3875eec39769d5c07114': ['641e27bf1e9a7e320d6856399a7c274934bb351e']},,,,,
CVE-2012-5625,openstack_nova,"a99a802
9d2ea97",,{'9d2ea970422591f8cdc394001be9a2deca499a5f': ['a99a802e008eed18e39fc1d98170edc495cbd354']},,,,
CVE-2012-6546,torvalds_linux,"3c0c5cf
e862f1a",,,,,,"[""3c0c5cfdcd4d69ffc4b9c0907cec99039f30a50a"", ""e862f1a9b7df4e8196ebec45ac62295138aa3fc2""]"
CVE-2013-2145,audreyt_module-signature,"cbd06b3
575f7bd",,,,"{    ""575f7bd6ba4cc7c92f841e8758f88a131674ebf2"": [""cbd06b392a73c63159dc5c20ff5b3c8fc88c4896""]  }",,
CVE-2013-5029,phpmyadmin_phpmyadmin,"24d0eb5
da4042f
240b833",,,,{'24d0eb55203b029f250c77d63f2900ffbe099e8b': ['da4042fb6c4365dc8187765c3bf525043687c66f']},{'240b8332db53dedc27baeec5306dabad3bdece3b': ['24d0eb55203b029f250c77d63f2900ffbe099e8b']},
CVE-2013-4590,apache_tomcat,"05c84ff
78dd7e6",,{'05c84ff': ['78dd7e6f3d8481bc3bcd71ca5b20296de1283888']},,,,
CVE-2013-6430,spring-projects_spring-framework,"f5c9fe6
7a7df66",,{'f5c9fe69a444607af667911bd4c5074b5b073e7b': ['7a7df6637478607bef0277bf52a4e0a03e20a248']},,,,
CVE-2016-1000339,bcgit_bc-java,"8a73f08
413b42f",,,,,,"['8a73f08931450c17c749af067b6a8185abdfd2c0', '413b42f4d770456508585c830cfcde95f9b0e93b']"
CVE-2016-10050,ImageMagick_ImageMagick,"73fb0aa
139d432",,{'73fb0aac5b958521e1511e179ecc0ad49f70ebaf': ['139d4323c40d7363bfdd2382c3821a6f76d69430']},,,,
CVE-2016-10063,ImageMagick_ImageMagick,"2bb6941
94936ef",,{'2bb6941a2d557f26a2f2049ade466e118eeaab91': ['94936efda8aa63563211eda07a5ade92abb32f7a']},,,,
CVE-2016-10070,ImageMagick_ImageMagick,"b173a35
a6240a1",,{'b173a352397877775c51c9a0e9d59eb6ce24c455': ['a6240a163cb787909703d9fc649cf861f60ddd7c']},,,,
CVE-2016-10105,Piwigo_Piwigo,"9004fdf
8796e43",,{'9004fdfc0b4a11cb32e9e15a5f67e4ec827e82dc': ['8796e43aa344681d92a92e1f9b985409d4f36e31']},,,,
CVE-2016-2555,atutor_ATutor,"945a9dc
629b2c9",{'629b2c992447f7670a2fecc484abfad8c4c2d298': ['945a9dca01def8536516088da30fe6a4b7e9fa85']},,,,,
CVE-2016-4069,roundcube_roundcubemail,"699af1e
4a40884",,{'4a408843b0ef816daf70a472a02b78cd6073a4d5': ['699af1e5206ed9114322adaa3c25c1c969640a53']},,,,
CVE-2016-4437,apache_shiro,"64d9f83
4d5bb00",,{'64d9f8341e1aa7ef1a29744e16ea7c578ca5deee': ['4d5bb000a7f3c02d8960b32e694a565c95976848']},,,,
CVE-2016-5018,apache_tomcat80,"3adf2d6
1195015",,,,,,"['11950154730c3b2473580621df83356e09142e73', '3adf2d614bce0fb9587b0eb7a4a9fbb7ac8e6d82']"
CVE-2016-5355,wireshark_wireshark,"3270dfa
5efb452",,,,{'5efb45231671baa2db2011d8f67f9d6e72bc455b': ['3270dfac43da861c714df76513456b46765ff47f']},,
CVE-2016-5357,wireshark_wireshark,"11edc83
6a140ec",,,,{'6a140eca7b78b230f1f90a739a32257476513c78': ['11edc83b98a61e890d7bb01855389d40e984ea82']},,
CVE-2016-5731,phpmyadmin_phpmyadmin,"418aeea
94cf386",,,{'94cf3864254ffaf3a69e97d8fc454888368b94ab': ['418aeea3d83b0b6021bac311d849570acfc6e48c']},,,{'94cf3864254ffaf3a69e97d8fc454888368b94ab': ['418aeea3d83b0b6021bac311d849570acfc6e48c']}
CVE-2016-5734,phpmyadmin_phpmyadmin,"1cc7466
4bcc606",,,,,,"['4bcc606225f15bac0b07780e74f667f6ac283da7', '1cc7466db3a05e95fe57a6702f41773e6829d54b']"
CVE-2016-5739,phpmyadmin_phpmyadmin,"2f49508
1e5716c",,,,{'1e5716cb96d46efc305381ae0da08e73fe340f05': ['2f4950828ec241e8cbdcf13090c2582a6fa620cb']},,
CVE-2016-6189,inverse-inc_sogo,"875a4ac
717f45f",,{'875a4aca3218340fd4d3141950c82c2ff45b343d': ['717f45f640a2866b76a8984139391fae64339225']},,,,
CVE-2016-6190,inverse-inc_sogo,"875a4ac
717f45f",,{'875a4aca3218340fd4d3141950c82c2ff45b343d': ['717f45f640a2866b76a8984139391fae64339225']},,,,
CVE-2016-7524,ImageMagick_ImageMagick,"97c9f43
f8c318d",,{'97c9f438a9b3454d085895f4d1f66389fd22a0fb': ['f8c318d462270b03e77f082e2a3a32867cacd3c6']},,,,
CVE-2016-7536,ImageMagick_ImageMagick,"478cce5
02dadf1",,{'478cce544fdf1de882d78381768458f397964453': ['02dadf116124cfba35d7ebd9ced3e5ad0be0f176']},,,,
CVE-2016-8629,keycloak_keycloak,"3d46b4c
a78cfa4",{'a78cfa4b2ca979a1981fb371cfdf2c7212f7b6e2': ['3d46b4c425d39b004566cc78164e1ffbe37d647c']},,,,,
CVE-2016-9128,revive-adserver_revive-adserver,"e17a7ec
a323fd6",,,,,,"['e17a7ec3412ded751cda50b82338de471d656d74', 'a323fd626627e8d42819fd5b7e2829196b5c54a3']"
CVE-2017-0899,rubygems_rubygems,"ef0aa61
1bcbc7f",,,,{'ef0aa611effb5f54d40c7fba6e8235eb43c5a491': ['1bcbc7fe637b03145401ec9c094066285934a7f1']},,
CVE-2017-1000069,bitly_oauth2_proxy,"4464655
55085d9",{'4464655276877f1951fddf238cdfeca3cbca83ef': ['55085d9697962668fd4e43e8e4644144fe83cd93']},,,,,
CVE-2017-1000501,eldy_awstats,"cf21984
06c0ab2",,,,"{    ""cf219843a74c951bf5986f3a7fffa3dcf99c3899"": [""06c0ab29c1e5059d9e0279c6b64d573d619e1651""]  }",,
CVE-2017-11449,ImageMagick_ImageMagick,"b007dd3
529ff26",,,,"{""b007dd3a048097d8f58949297f5b434612e1e1a3"": [""529ff26b68febb2ac03062c58452ea0b4c6edbc1""]}",,
CVE-2017-12190,torvalds_linux,"95d78c2
2b04e8f",,,,,,"['95d78c28b5a85bacbc29b8dba7c04babb9b0d467', '2b04e8f6bbb196cab4b232af0f8d48ff2c7a8058']"
CVE-2017-12196,undertow-io_undertow,"facb33a
8804170",,,,{'facb33a5cedaf4b7b96d3840a08210370a806870': ['8804170ce3186bdd83b486959399ec7ac0f59d0f']},,
